,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.79589863311137,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
6815,11.14836234818249,11.227722094360399,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
4120,9.254357257392957,9.248213979703207,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
11898,10.307284603543595,10.345889810795963,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
5998,9.952230096524119,10.007811435925237,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
11135,10.305613759378778,10.290877662699215,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
9803,10.432644132986843,10.543227399475132,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
16843,11.12652741957929,11.181281565686625,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
1227,10.967335848767897,11.076136149051257,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
1761,10.75683848463641,10.65496424067761,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
2174,10.46310334047155,10.46524793125379,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
16793,10.644233711895351,10.682470353905627,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
10923,10.621205387030278,10.56085095014353,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
4467,10.04107321548869,10.167584349749985,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
9613,10.75577295443437,10.806307427685597,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
6893,9.851931065621725,9.823141996364544,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
14891,10.489884363149192,10.428986689170385,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
5118,10.667791927412402,10.694762090064216,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
15942,10.667791927412402,10.692319821056447,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
1420,11.212927866795798,11.22773589259201,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
7225,10.04107321548869,10.117006353196757,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
7867,9.612466578818832,9.958656249735391,Audi,Q5,-0.009339436200866014,1,1.35,600,"('mpg', 'tax', 'fuel')"
6520,9.903487552536127,9.817527786769174,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
13473,10.085600754292345,9.91309749021331,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
13915,9.612466578818832,9.618031091465232,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
17130,10.16199824768763,10.197735218349688,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
15009,10.043032079974024,10.024165365287402,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
5727,9.67721410821299,9.52894489717298,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
3655,9.612466578818832,9.530869981288955,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
1023,9.578449693540579,9.546972839201313,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
12729,9.67721410821299,9.73584838323181,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
1775,9.543234787249512,9.646378061924315,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
2073,9.648272670221848,9.692745916935898,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
4055,9.996522418503318,10.215862368714072,Bmw,1 Series,-0.02346626393968932,1,1.35,600,"('mpg', 'tax', 'fuel')"
