,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.798836428960609,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
6815,11.14836234818249,11.183974975080215,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
4120,9.254357257392957,9.386187763524038,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
11898,10.307284603543595,10.22154153110834,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
5998,9.952230096524119,10.238253749463,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
11135,10.305613759378778,10.401599528093074,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
9803,10.432644132986843,10.329069348265103,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
16843,11.12652741957929,11.253421594233224,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
1227,10.967335848767897,10.88260410060413,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
1761,10.75683848463641,10.700217871796468,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
2174,10.46310334047155,10.25628269221635,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
16793,10.644233711895351,10.558559103898013,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
10923,10.621205387030278,10.50716031056358,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
4467,10.04107321548869,9.964503097638508,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
9613,10.75577295443437,10.83710642112875,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
6893,9.851931065621725,9.88927904983348,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
14891,10.489884363149192,10.049807743918032,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
5118,10.667791927412402,10.785300481947084,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
15942,10.667791927412402,10.776063024219331,Audi,Q5,-0.04316321078487489,1,1.35,600,"('nct_remaining', 'color')"
